SPO#;CP_Bang;CP_GiayPhep;CP_VanChuyen;CP_VatTu;CP_Khac;CP_NhanCong;Total_Cost;ten_loai_bang_hieu;SPO_brand;Request Date;OutletID;Type;Requester;Outlet Name;status_SPO;Signage Class;Supplier;SS/SE;Sales Rep;item_bang_hiflex;item_bat_tha_hiflex;item_canopy;item_hop_den_hiflex;item_led_logo;item_bat_hiflex;item_tranh_dien;item_emblem;item_led;item_bang;item_standard;status_SPO;Area;Region;ASM Approve;SR Accepted Date;Budget;Complete/In progress;ASM Status;Pending At;Warchest/AP
11;0;250000;0;1145000;0;0;1395000;;Larue;02/01/2026;11;New Signage Request;Hoang Duong Tan;Co Tu;Area Sales Manager Approved...;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vo Hong Quang;Hoang Duong Tan;0;0;0;0;0;1;0;0;0;1;1;Area Sales Manager Approved...;Da Nang 3;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
12;552720;0;0;0;0;0;552720;bang hieu hiflex 1 mat ngoai troi;Tiger;02/01/2026;12;New Signage Request;Tuan Nguyen Minh;GIANG SON BIA;Sign Maker Checked Marquette;Standard;Công ty TNHH TM và DV Gia Thành;Nguyen Nhu Tung Linh;Tuan Nguyen Minh;1;0;0;0;0;0;0;0;0;1;1;Sign Maker Checked Marquette;Ha Noi 1;Ha Noi;;;100%_VA267157_HN1_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
13;6516000;250000;0;210000;0;0;6976000;hop den hiflex 1 mat ngoai troi day du;Larue;02/01/2026;13;New Signage Request;Le Ngoc An;QUAN 68;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Ha Hoang Quan;Le Ngoc An;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
14;2698000;250000;0;925000;0;0;3873000;hop den hiflex 2 mat ngoai troi day du;Tiger;02/01/2026;14;New Signage Request;Nguyen Thanh Tai;Quan Ben Ho;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
15;2698000;250000;0;925000;0;0;3873000;hop den hiflex 2 mat ngoai troi day du;Tiger;02/01/2026;15;New Signage Request;Nguyen Thanh Tai;Lang Ca;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
16;2698000;250000;0;925000;0;0;3873000;hop den hiflex 2 mat ngoai troi day du;Tiger;02/01/2026;16;New Signage Request;Nguyen Thanh Tai;Phuong Dai;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
17;0;250000;0;2739150;0;0;2989150;;Bivina;02/01/2026;17;New Signage Request;Nguyen Thanh Tai;35k;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;0;0;1;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
18;2698000;0;0;925000;0;0;3623000;hop den hiflex 2 mat ngoai troi day du;Tiger;02/01/2026;18;New Signage Request;Nguyen Thanh Tai;Oc Pho Sai Gon;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 15/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
19;2698000;0;0;925000;0;0;3623000;hop den hiflex 2 mat ngoai troi day du;Tiger;02/01/2026;19;New Signage Request;Nguyen Thanh Tai;Thanh Binh 2;Area Sales Manager Approved...;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved...;Central 22;Central Coast North; 15/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
20;2698000;250000;0;2989000;0;0;5937000;hop den hiflex 2 mat ngoai troi day du;Bivina;02/01/2026;20;New Signage Request;Nguyen Thanh Tai;Quan Dong Que;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;1;0;0;0;2;2;Sales Rep Checked Variation;Central 22;Central Coast North; 15/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
21;0;0;0;0;800000;0;800000;;;02/01/2026;21;New Signage Request;Nguyen Thanh Toi;CHU TEO;Sign Maker Installed Signage;Standard;Công Ty TNHH Dịch Vụ Quảng Cáo Mĩ Thi;Ha Le Tien Tai;Nguyen Thanh Toi;0;0;0;0;0;0;0;0;0;0;0;Sign Maker Installed Signage;HCM 1;HCM Zone 1; 09/01/2026;;100%_LME 2026 - HCM 1_LME 2026 - HCM 1_1_Sales Dept;Complete;Complete;Complete;AP
22;2698000;250000;0;925000;0;0;3873000;hop den hiflex 2 mat ngoai troi day du;Bivina;03/01/2026;22;New Signage Request;Nguyen Linh Tam;NGA;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Linh Tam;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 15/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
23;2698000;250000;0;925000;0;0;3873000;hop den hiflex 2 mat ngoai troi day du;Bivina;03/01/2026;23;New Signage Request;Nguyen Truong Son;Hat Le;Sales Admin Full Checked;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;NGUYEN AN HUNG;Nguyen Truong Son;0;0;0;1;0;0;0;0;0;1;1;Sales Admin Full Checked;Central 20;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
24;5430000;250000;0;1850000;0;0;7530000;hop den hiflex 1 mat ngoai troi day du;Bivina;03/01/2026;24;New Signage Request;Nguyen Truong Son;Quan 285;Sales Admin Full Checked;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;NGUYEN AN HUNG;Nguyen Truong Son;0;0;0;1;0;0;0;0;0;1;1;Sales Admin Full Checked;Central 20;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
25;6516000;250000;0;0;0;0;6766000;hop den hiflex 1 mat ngoai troi day du;Tiger;03/01/2026;25;New Signage Request;Nguyen Thanh Tai;3 Thang;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
26;8128000;250000;0;2510000;0;0;10888000;hop den hiflex 1 mat ngoai troi day du, hop den hiflex 2 mat ngoai troi day du;Tiger;03/01/2026;26;New Signage Request;Nguyen Thanh Tai;36 Quan;Sales Rep Accepted;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;2;0;1;0;0;0;3;3;Sales Rep Accepted;Central 22;Central Coast North; 07/01/2026; 19/01/2026;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
27;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;03/01/2026;27;New Signage Request;HO NAM VIET;CAY SUA;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Vo Duc Thanh;HO NAM VIET;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
28;6771000;250000;0;0;0;0;7021000;hop den hiflex 1 mat khong gan;Tiger;03/01/2026;28;New Signage Request;Dinh Cong Cuong;NHAU HA;Sign Maker Rejected;Premium;Công ty TNHH MTV Quảng Cáo Phước Tiến;Ngo Dinh Khoa;Dinh Cong Cuong;0;0;0;1;0;0;0;0;0;1;1;Sign Maker Rejected;Quang Nam 1;Central Mid;;;100%_LME2026_LME2026_1_Sales Dept;In progress;In progress;Sale team;AP
29;4233000;250000;0;2072500;0;0;6555500;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;03/01/2026;29;New Signage Request;Ung Thanh Tam;ANH VY;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Le Minh Tuan;Ung Thanh Tam;1;0;0;1;0;0;0;0;0;2;2;Sales Rep Checked Variation;Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
30;1228000;250000;0;549500;0;0;2027500;bang hieu hiflex 1 mat ngoai troi;Larue;04/01/2026;30;New Signage Request;Ong Hoa Hung;TH ANH;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Ngo Dinh Khoa;Ong Hoa Hung;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Quang Nam 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
31;1399588;0;0;276000;0;0;1675588;hop den hiflex 2 mat ngoai troi day du;Larue;04/01/2026;31;New Signage Request;Ngo Nhat Duc;NHAU BINH DAN 362;Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 1;Central Mid; 14/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
32;6516000;250000;0;1670000;0;0;8436000;hop den hiflex 1 mat ngoai troi day du;Larue;04/01/2026;32;New Signage Request;Ngo Nhat Duc;CHILL CHILL DAO XANH;Sales Rep Submitted;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Submitted;Da Nang 1;Central Mid;;;100%_LME2026_LME2026_1_Sales Dept;In progress;In progress;Sale team;AP
33;0;250000;0;3380000;600000;0;4230000;;Larue;04/01/2026;33;New Signage Request;Vo Nguyen Hieu;GIA KHANH QUAN;Sign Maker Rejected;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Le Minh Tuan;Vo Nguyen Hieu;0;0;0;0;0;3;0;0;0;3;3;Sign Maker Rejected;Quang Nam 2;Central Mid;;;100%_LME2026_LME2026_1_Sales Dept;In progress;In progress;Sale team;AP
34;0;250000;600000;0;0;0;850000;;;05/01/2026;34;New Signage Request;Nguyen Cong Hoang;10 Ty;Sign Maker Installed Signage;Premium;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Nguyen Le Anh Thai;Nguyen Cong Hoang;0;0;0;0;0;0;0;0;0;0;0;Sign Maker Installed Signage;Central 22;Central Coast North; 15/01/2026;;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
35;6516000;250000;0;210000;0;0;6976000;hop den hiflex 1 mat ngoai troi day du;Larue;05/01/2026;35;New Signage Request;Nguyen Duc Hung;Quan Tu Quy;Area Sales Manager Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Ngo Dinh Khoa;Nguyen Duc Hung;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved...;Quang Nam 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
36;5212800;0;0;195000;0;0;5407800;hop den hiflex 1 mat ngoai troi day du;Bia Viet;05/01/2026;36;New Signage Request;Le Thanh Tung;BIA HOI UOP LANH;Sales Rep Checked Variation;Standard;Công Ty TNHH Dịch Vụ Quảng Cáo Mĩ Thi;Tran Sau;Le Thanh Tung;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;HCM 2;HCM Zone 1; 15/01/2026;;100%_LME 2026 - HCM 2_LME 2026 - HCM 2_1_Sales Dept;In progress;ASM approve;nha ve;AP
37;2698000;250000;600000;925000;0;0;4473000;hop den hiflex 2 mat ngoai troi day du;Tiger;05/01/2026;37;New Signage Request;Tran Huu Thanh;BBQ KALMAEGI GARDEN;Sign Maker Installed Signage;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Tran Huu Thanh;0;0;0;1;0;0;0;0;0;1;1;Sign Maker Installed Signage;Central 22;Central Coast North; 07/01/2026;;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
38;10500000;250000;0;0;0;0;10750000;led logo_ngoai troi_phien ban 2025_size 0.5:1.5_tiger;Tiger;05/01/2026;38;New Signage Request;Tran Huu Thanh;BUI QUAN;Sign Maker Installed Signage;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Tran Huu Thanh;0;0;0;0;1;0;0;0;1;1;0;Sign Maker Installed Signage;Central 22;Central Coast North; 07/01/2026;;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
39;0;250000;0;1268000;0;0;1518000;;Larue;05/01/2026;39;New Signage Request;Le Vuong Vu;MINH CUONG;Area Sales Manager Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Thanh Tung;Le Vuong Vu;0;0;0;0;0;1;0;0;0;1;1;Area Sales Manager Approved...;Da Nang 2;Central Mid; 12/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
40;10517200;250000;0;2775000;0;0;13542200;hop den hiflex 1 mat ngoai troi day du, hop den hiflex 2 mat ngoai troi day du;Tiger;05/01/2026;40;New Signage Request;Tran Huu Thanh;Ven Song 2;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Tran Huu Thanh;0;0;0;2;0;0;0;0;0;2;2;Sales Rep Checked Variation;Central 22;Central Coast North; 09/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
41;4887000;250000;0;78000;0;0;5215000;hop den hiflex 1 mat ngoai troi day du;Larue;05/01/2026;41;New Signage Request;Nguyen Huu Tuan;Quan 57;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Truong Hoang;Nguyen Huu Tuan;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 2;Central Mid; 08/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
42;2698000;0;0;234000;0;0;2932000;hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;42;New Signage Request;Nguyen Huu Tuan;Cay Oi Quan;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Truong Hoang;Nguyen Huu Tuan;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 2;Central Mid; 08/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
43;0;0;0;1040000;0;0;1040000;;;05/01/2026;43;New Signage Request;Nguyen Manh Quang;A CON;Sales Admin Finish;Standard;Công Ty TNHH Dịch Vụ Quảng Cáo Mĩ Thi;Vo Cong Son;Nguyen Manh Quang;0;0;0;0;0;0;0;0;0;0;0;Sales Admin Finish;HCM 1;HCM Zone 1; 09/01/2026; 09/01/2026;100%_LME 2026 - HCM 1_LME 2026 - HCM 1_1_Sales Dept;Complete;Complete;Complete;AP
44;8128000;250000;0;3272320;0;0;11650320;hop den hiflex 1 mat ngoai troi day du, hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;44;New Signage Request;Tran Quoc Hai;791;Area Sales Manager Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Truong Hoang;Tran Quoc Hai;0;0;0;2;0;0;0;0;0;2;2;Area Sales Manager Approved...;Da Nang 2;Central Mid; 08/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
45;1274050;250000;0;406700;0;0;1930750;bang hieu hiflex 1 mat ngoai troi;Larue;05/01/2026;45;New Signage Request;Nguyen Anh Van;TH CO HOA;Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Phi Ngoc Huy;Nguyen Anh Van;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
46;0;0;0;3573480;0;0;3573480;;;05/01/2026;46;New Signage Request;Tran Quoc Hai;CHIEN HUU QUAN;Area Sales Manager Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Truong Hoang;Tran Quoc Hai;0;0;0;0;0;0;0;0;0;0;0;Area Sales Manager Approved...;Da Nang 2;Central Mid; 08/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
47;0;550000;0;2285000;1550000;450450;4835450;;;05/01/2026;47;New Signage Request;Nguyen Manh Quang;TIEU TRUNG HOA;Sales Admin Finish;Premium;Công Ty TNHH Dịch Vụ Quảng Cáo Mĩ Thi;Vo Cong Son;Nguyen Manh Quang;0;0;0;0;0;0;0;0;0;0;0;Sales Admin Finish;HCM 1;HCM Zone 1; 09/01/2026; 15/01/2026;100%_LME 2026 - HCM 1_LME 2026 - HCM 1_1_Sales Dept;Complete;Complete;Complete;AP
48;2698000;0;0;276000;0;0;2974000;hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;48;New Signage Request;Le Tuan Anh;TU HOI;RCM Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Tran Van Hung;Le Tuan Anh;0;0;0;1;0;0;0;0;0;1;1;RCM Approved...;Quang Nam 1;Central Mid; 10/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
49;0;250000;0;4438000;0;0;4688000;;Larue;05/01/2026;49;New Signage Request;Le Tuan Anh;QUAN CUONG;Area Sales Manager Approved...;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Tran Van Hung;Le Tuan Anh;0;0;0;0;0;4;0;0;0;4;4;Area Sales Manager Approved...;Quang Nam 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
50;1322020;0;0;751500;0;0;2073520;hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;50;New Signage Request;Le Tuan Anh;HOANG DUNG (DSM);Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Tran Van Hung;Le Tuan Anh;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
51;2698000;250000;0;2336500;0;0;5284500;hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;51;New Signage Request;Le Tuan Anh;DUNG LE;Sales Admin Rejected;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Tran Van Hung;Le Tuan Anh;0;0;0;1;0;1;0;0;0;2;2;Sales Admin Rejected;Quang Nam 1;Central Mid;;;100%_LME2026_LME2026_1_Sales Dept;In progress;In progress;Sale team;AP
52;3106596;250000;0;1200744;0;0;4557340;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;05/01/2026;52;New Signage Request;Vu Hoang Viet;TH BA OANH;Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Nguyen Van Diep;Vu Hoang Viet;1;0;0;1;0;0;0;0;0;2;2;Sales Rep Checked Variation;Da Nang 1;Central Mid; 13/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
53;0;0;0;1268000;0;0;1268000;;Larue;05/01/2026;53;New Signage Request;Le Tuan Anh;TRANG CHAO VIT;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Tran Van Hung;Le Tuan Anh;0;0;0;0;0;2;0;0;0;2;2;Area Sales Manager Approved (MOA ASM);Quang Nam 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
